dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.665,0.66733,0.1278,0.2042,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.72167,0.72433,0.1895,0.2971,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.72167,0.72433,0.1827,0.2747,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.72167,0.72433,0.1807,0.2645,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.76133,0.76567,0.3068,0.427,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.76133,0.76567,0.2864,0.4181,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.76133,0.76567,0.2874,0.404,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.79733,0.80133,0.5194,0.6712,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.79733,0.80133,0.5003,0.6503,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.79733,0.80133,0.5298,0.6862,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.827,0.83367,0.9733,1.2093,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.827,0.83367,0.9546,1.2102,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.827,0.83367,0.9552,1.1854,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.86333,0.87033,1.7064,1.9822,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.86333,0.87033,1.7349,1.9933,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.86333,0.87033,1.6952,1.9628,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.90333,0.908,3.206,3.5732,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.90333,0.908,3.2423,3.6433,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.90333,0.908,3.2012,3.5947,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.51933,0.52067,0.21,0.2605,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.51933,0.52067,0.2093,0.2723,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.51933,0.52067,0.2088,0.2659,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.651,0.653,0.218,0.2686,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.651,0.653,0.2159,0.2797,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.651,0.653,0.2155,0.2722,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.724,0.72633,0.237,0.2981,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.724,0.72633,0.2454,0.328,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.724,0.72633,0.2512,0.335,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.771,0.77367,0.2933,0.3632,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.771,0.77367,0.2896,0.359,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.771,0.77367,0.2707,0.3433,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.80267,0.807,0.3341,0.4135,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.80267,0.807,0.336,0.4108,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.80267,0.807,0.3335,0.4195,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.83233,0.83733,0.4629,0.573,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.83233,0.83733,0.4678,0.581,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.83233,0.83733,0.4856,0.6076,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.85833,0.86433,0.7421,0.8822,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.85833,0.86433,0.7415,0.9072,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.85833,0.86433,0.7014,0.8471,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.886,0.892,1.1977,1.3957,47.48,210.59,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.886,0.892,1.1954,1.389,47.48,210.59,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.886,0.892,1.2238,1.427,47.48,210.59,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.29033,0.29067,0.0752,0.1505,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.29033,0.29067,0.0684,0.1172,21.12,4.25,1
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.29033,0.29067,0.0674,0.1183,21.12,4.25,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.29767,0.298,0.0727,0.1225,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.29767,0.298,0.0721,0.1162,21.12,4.25,1
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.29767,0.298,0.0713,0.1128,21.12,4.25,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.30733,0.30767,0.0794,0.1305,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.30733,0.30767,0.0802,0.1417,21.12,4.25,1
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.30733,0.30767,0.0829,0.1437,21.12,4.25,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.309,0.30967,0.0919,0.1376,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.309,0.30967,0.0916,0.1375,21.12,4.25,1
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.309,0.30967,0.0967,0.1522,21.12,4.25,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.31,0.31067,0.1186,0.1733,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.31,0.31067,0.1204,0.1903,21.12,4.25,1
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.31,0.31067,0.1172,0.1773,21.12,4.25,2
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.31033,0.311,0.2564,0.3215,21.12,4.25,0
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 8, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.31033,0.311,0.2654,0.337,21.12,4.25,1
